id,label,timeset,fan_count,category,username,users_can_post,link,post_activity,talking_about_count
61213649618,Tecnológico de Monterrey Campus Guadalajara,,116486,University,TecCampusGDL,yes,https://www.facebook.com/TecCampusGDL/,0.25,6239
195923199514,Tec de Monterrey Campus Aguascalientes,,7760,Education,TecCampusAGS,yes,https://www.facebook.com/TecCampusAGS/,0.06,310
226130625557,Tec de Monterrey Campus San Luis,,12022,University,itesm.slp,yes,https://www.facebook.com/itesm.slp/,0.16,1593
1500340693610646,Tec Review Web,,8763,Magazine,tecreview,yes,https://www.facebook.com/tecreview/,0.42,1320
1781133445452041,"Ingeniero Mecánico Administrador TEC de Monterrey, Guadalajara",,128,School,IMATecCampusGDL,yes,https://www.facebook.com/IMATecCampusGDL/,0.01,31
924214637636430,"Tecnológico de Monterrey, Campus Chiapas",,3973,Education,tecnologicodemonterreyChiapas,yes,https://www.facebook.com/tecnologicodemonterreyChiapas/,0.11,133
208966514625,Tecnológico de Monterrey en Toluca,,14368,Education,TecdeMtyToluca,yes,https://www.facebook.com/TecdeMtyToluca/,0.1,1100
136659463030729,Sistema Nacional de Comunicación del Tecnológico de Monterrey,,6744,University,TecnologicodeMonterreyNews,yes,https://www.facebook.com/TecnologicodeMonterreyNews/,0.05,30
961765523901217,Festival de la Cultura y las Artes del Tecnológico de Monterrey,,136,Education,FestivalDeLaCulturaYLasArtesTec,yes,https://www.facebook.com/FestivalDeLaCulturaYLasArtesTec/,0.01,11
458456357677041,PROTRASH,,1763,Community Organization,PROtrash.co,no,https://www.facebook.com/PROtrash.co/,0.04,22
160968200582928,Borregos GDL,,817,School Sports Team,BorregosGDL,yes,https://www.facebook.com/BorregosGDL/,0.02,35
119674301521593,Tochito y Americano en imagen,,6316,Camera/Photo,TochitoEnImagen,yes,https://www.facebook.com/TochitoEnImagen/,0.03,498
115103408384,El Informador,,855673,Media/News/Publishing,elinformador,yes,https://www.facebook.com/elinformador/,1.28,48231
573553349394917,Yanic Gentry Sailing,,1760,Athlete,yanicgentrysailing,yes,https://www.facebook.com/yanicgentrysailing/,0.02,10
229696957077165,Prepa Tec Colima,,4288,Education,PrepaTecCOL,no,https://www.facebook.com/PrepaTecCOL/,0.02,54
682465328448639,Escuela de Gobierno y Transformación Pública,,14033,Education,EGobiernoyTP,no,https://www.facebook.com/EGobiernoyTP/,0.09,317
99158093147,Tec de Monterrey Campus Morelia,,29064,University,TecdeMonterreyMorelia,yes,https://www.facebook.com/TecdeMonterreyMorelia/,0.1,1083
205095032857458,"Tecnológico de Monterrey, Campus Ciudad de México",,35130,Education,TecCCM,yes,https://www.facebook.com/TecCCM/,0.12,2014
